상표,주유소명,주소,시군구,유종별 가격,부가정보
SK에너지,KH에너지㈜직영 가양주유소,서울 강서구 강서로 498 (가양동),강서구,"{'고급휘발유': '1,884원', '보통휘발유': '1,694원', '경유': '1,543원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'Y', '편의점 여부': 'Y', '24시 영업 여부': 'Y'}"
HD현대오일뱅크,HD현대오일뱅크㈜직영 양화교셀프주유소,서울 강서구 공항대로 653,강서구,"{'고급휘발유': '1,885원', '보통휘발유': '1,704원', '경유': '1,599원', '실내등유': '1,489원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
SK에너지,오션네트웍스(주) 서울식물원지점,서울 강서구 양천로 300,강서구,"{'고급휘발유': '1,889원', '보통휘발유': '1,699원', '경유': '1,548원'}","{'세차장 여부': 'N', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
SK에너지,KH에너지㈜직영 KH외발산주유소,서울 강서구 방화대로 30,강서구,"{'고급휘발유': '1,895원', '보통휘발유': '1,652원', '경유': '1,522원'}","{'세차장 여부': 'Y', '충전소 여부': 'Y', '경정비 여부': 'Y', '편의점 여부': 'Y', '24시 영업 여부': 'N'}"
GS칼텍스,대성석유(주) 마곡대성주유소,서울 강서구 강서로 457,강서구,"{'고급휘발유': '1,899원', '보통휘발유': '1,699원', '경유': '1,548원'}","{'세차장 여부': 'N', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
GS칼텍스,대성석유(주)방화대성주유소,서울 강서구 양천로 176,강서구,"{'고급휘발유': '1,899원', '보통휘발유': '1,699원', '경유': '1,568원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'Y', '24시 영업 여부': 'N'}"
S-OIL,스카이주유소,서울 강서구 개화동로 457 (방화동),강서구,"{'고급휘발유': '1,915원', '보통휘발유': '1,650원', '경유': '1,525원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'Y', '24시 영업 여부': 'Y'}"
HD현대오일뱅크,행촌에너지 공항주유소,서울 강서구 개화동로 420 (개화동),강서구,"{'고급휘발유': '1,915원', '보통휘발유': '1,650원', '경유': '1,525원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'Y', '편의점 여부': 'Y', '24시 영업 여부': 'Y'}"
GS칼텍스,대성주유소,서울 강서구 강서로 472,강서구,"{'고급휘발유': '1,916원', '보통휘발유': '1,719원', '경유': '1,568원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'Y', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
GS칼텍스,대성석유(주) 관문주유소,서울 강서구 공항대로 314,강서구,"{'고급휘발유': '1,916원', '보통휘발유': '1,719원', '경유': '1,568원', '실내등유': '1,600원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'Y', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
